id,Month,Day,Year,Time,module,timezone,Date,Likes,Retweet,text
1,Oct,2nd,2020,12:54:06,AM,EST,1.Oct 2nd 2020 - 12:54:06 AM EST,1870k,409k,"Tonight, @FLOTUS and I tested positive for COVID-19. We will begin our quarantine and recovery process immediately. We will get through this TOGETHER!"
2,Nov,8th,2016,6:43:14,AM,EST,2.Nov 8th 2016 - 6:43:14 AM EST,498k,281k,TODAY WE MAKE AMERICA GREAT AGAIN!
3,Jun,4th,2014,6:23:11,AM,EST,3.Jun 4th 2014 - 6:23:11 AM EST,231k,238k,Are you allowed to impeach a president for gross incompetence?
4,Aug,2nd,2019,1:41:30,PM,EST,4.Aug 2nd 2019 - 1:41:30 PM EST,821k,226k,"A$AP Rocky released from prison and on his way home to the United States from Sweden. It was a Rocky Week, get home ASAP A$AP!"
5,Nov,11th,2017,7:48:01,PM,EST,5.Nov 11th 2017 - 7:48:01 PM EST,534k,217k,"Why would Kim Jong-un insult me by calling me ""old,"" when I would NEVER call him ""short and fat?"" Oh well, I try so hard to be his friend - and maybe someday that will happen!"
6,Aug,31st,2013,5:46:07,AM,EST,6.Aug 31st 2013 - 5:46:07 AM EST,176k,211k,"Be prepared, there is a small chance that our horrendous leadership could unknowingly lead us into World War III."
7,May,31st,2020,12:23:43,PM,EST,7.May 31st 2020 - 12:23:43 PM EST,788k,211k,The United States of America will be designating ANTIFA as a Terrorist Organization.
8,Nov,7th,2020,10:36:36,AM,EST,8.Nov 7th 2020 - 10:36:36 AM EST,1188k,191k,"I WON THIS ELECTION, BY A LOT!"
9,Nov,12th,2020,11:34:00,AM,EST,9.Nov 12th 2020 - 11:34:00 AM EST,620k,186k,"“REPORT: DOMINION DELETED 2.7 MILLION TRUMP VOTES NATIONWIDE. DATA ANALYSIS FINDS 221,000 PENNSYLVANIA VOTES SWITCHED FROM PRESIDENT TRUMP TO BIDEN. 941,000 TRUMP VOTES DELETED. STATES USING DOMINION VOTING SYSTEMS SWITCHED 435,000 VOTES FROM TRUMP TO BIDEN.” @ChanelRion @OANN"
10,Jul,19th,2019,4:01:47,PM,EST,10.Jul 19th 2019 - 4:01:47 PM EST,680k,180k,Just spoke to @KanyeWest about his friend A$AP Rocky’s incarceration. I will be calling the very talented Prime Minister of Sweden to see what we can do about helping A$AP Rocky. So many people would like to see this quickly resolved!
11,Nov,9th,2016,6:36:58,AM,EST,11.Nov 9th 2016 - 6:36:58 AM EST,539k,177k,Such a beautiful and important evening! The forgotten man and woman will never be forgotten again. We will all come together as never before
12,Nov,10th,2020,8:44:22,AM,EST,12.Nov 10th 2020 - 8:44:22 AM EST,1024k,165k,WE WILL WIN!
13,Nov,7th,2020,4:54:48,PM,EST,13.Nov 7th 2020 - 4:54:48 PM EST,978k,158k,"71,000,000 Legal Votes. The most EVER for a sitting President!"
14,Jan,6th,2021,3:13:26,PM,EST,14.Jan 6th 2021 - 3:13:26 PM EST,730k,156k,"I am asking for everyone at the U.S. Capitol to remain peaceful. No violence! Remember, WE are the Party of Law & Order – respect the Law and our great men and women in Blue. Thank you!"
15,Jan,2nd,2018,7:49:19,PM,EST,15.Jan 2nd 2018 - 7:49:19 PM EST,430k,153k,"North Korean Leader Kim Jong Un just stated that the “Nuclear Button is on his desk at all times.” Will someone from his depleted and food starved regime please inform him that I too have a Nuclear Button, but it is a much bigger &amp, more powerful one than his, and my Button works!"
16,May,29th,2020,9:01:56,AM,EST,16.May 29th 2020 - 9:01:56 AM EST,765k,143k,CHINA!
17,Jan,7th,2020,9:45:24,PM,EST,17.Jan 7th 2020 - 9:45:24 PM EST,713k,143k,"All is well! Missiles launched from Iran at two military bases located in Iraq. Assessment of casualties &amp, damages taking place now. So far, so good! We have the most powerful and well equipped military anywhere in the world, by far! I will be making a statement tomorrow morning."
18,Oct,2nd,2020,11:31:34,PM,EST,18.Oct 2nd 2020 - 11:31:34 PM EST,1220k,140k,"Going welI, I think! Thank you to all. LOVE!!!"
19,Nov,6th,2012,11:45:09,PM,EST,19.Nov 6th 2012 - 11:45:09 PM EST,107k,136k,The electoral college is a disaster for a democracy.
20,Aug,19th,2020,9:38:31,AM,EST,20.Aug 19th 2020 - 9:38:31 AM EST,593k,135k,"IF YOU CAN PROTEST IN PERSON, YOU CAN VOTE IN PERSON!"
21,Nov,4th,2020,12:45:53,AM,EST,21.Nov 4th 2020 - 12:45:53 AM EST,925k,133k,I will be making a statement tonight. A big WIN!
22,Jan,5th,2020,12:11:03,AM,EST,22.Jan 5th 2020 - 12:11:03 AM EST,638k,132k,"The United States just spent Two Trillion Dollars on Military Equipment. We are the biggest and by far the BEST in the World! If Iran attacks an American Base, or any American, we will be sending some of that brand new beautiful equipment their way...and without hesitation!"
23,Oct,5th,2020,2:37:21,PM,EST,23.Oct 5th 2020 - 2:37:21 PM EST,594k,130k,"I will be leaving the great Walter Reed Medical Center today at 6:30 P.M. Feeling really good! Don’t be afraid of Covid. Don’t let it dominate your life. We have developed, under the Trump Administration, some really great drugs & knowledge. I feel better than I did 20 years ago!"
24,Nov,7th,2020,4:53:34,PM,EST,24.Nov 7th 2020 - 4:53:34 PM EST,684k,129k,"THE OBSERVERS WERE NOT ALLOWED INTO THE COUNTING ROOMS. I WON THE ELECTION, GOT 71,000,000 LEGAL VOTES. BAD THINGS HAPPENED WHICH OUR OBSERVERS WERE NOT ALLOWED TO SEE. NEVER HAPPENED BEFORE. MILLIONS OF MAIL-IN BALLOTS WERE SENT TO PEOPLE WHO NEVER ASKED FOR THEM!"
25,Mar,19th,2014,9:41:53,PM,EST,25.Mar 19th 2014 - 9:41:53 PM EST,128k,128k,It's almost like the United States has no President - we are a rudderless ship heading for a major disaster. Good luck everyone!
26,May,8th,2013,9:37:06,PM,EST,26.May 8th 2013 - 9:37:06 PM EST,155k,124k,"Sorry losers and haters, but my I.Q. is one of the highest -and you all know it! Please don't feel so stupid or insecure,it's not your fault"
27,Dec,28th,2020,4:00:35,PM,EST,27.Dec 28th 2020 - 4:00:35 PM EST,455k,122k,"“Breaking News: In Pennsylvania there were 205,000 more votes than there were voters. This alone flips the state to President Trump.”"
28,Nov,8th,2020,1:52:47,PM,EST,28.Nov 8th 2020 - 1:52:47 PM EST,690k,121k,Since when does the Lamestream Media call who our next president will be? We have all learned a lot in the last two weeks!
29,Nov,5th,2020,9:12:37,AM,EST,29.Nov 5th 2020 - 9:12:37 AM EST,749k,121k,STOP THE COUNT!
30,Nov,6th,2020,12:38:17,PM,EST,30.Nov 6th 2020 - 12:38:17 PM EST,652k,120k,Where are the missing military ballots in Georgia? What happened to them?
31,Nov,6th,2020,5:50:13,PM,EST,31.Nov 6th 2020 - 5:50:13 PM EST,677k,116k,Joe Biden should not wrongfully claim the office of the President. I could make that claim also. Legal proceedings are just now beginning!
32,Dec,31st,2016,8:17:21,AM,EST,32.Dec 31st 2016 - 8:17:21 AM EST,300k,114k,"Happy New Year to all, including to my many enemies and those who have fought me and lost so badly they just don't know what to do. Love!"
33,Nov,15th,2020,11:55:48,PM,EST,33.Nov 15th 2020 - 11:55:48 PM EST,719k,111k,I WON THE ELECTION!
34,Dec,24th,2020,3:56:47,PM,EST,34.Dec 24th 2020 - 3:56:47 PM EST,489k,110k,"VOTER FRAUD IS NOT A CONSPIRACY THEORY, IT IS A FACT!!!"
35,Nov,15th,2020,9:19:51,AM,EST,35.Nov 15th 2020 - 9:19:51 AM EST,572k,109k,He only won in the eyes of the FAKE NEWS MEDIA. I concede NOTHING! We have a long way to go. This was a RIGGED ELECTION!
36,Nov,3rd,2020,6:15:55,PM,EST,36.Nov 3rd 2020 - 6:15:55 PM EST,956k,109k,WE ARE LOOKING REALLY GOOD ALL OVER THE COUNTRY. THANK YOU!
37,Jan,8th,2021,9:46:38,AM,EST,37.Jan 8th 2021 - 9:46:38 AM EST,481k,109k,"The 75,000,000 great American Patriots who voted for me, AMERICA FIRST, and MAKE AMERICA GREAT AGAIN, will have a GIANT VOICE long into the future. They will not be disrespected or treated unfairly in any way, shape or form!!!"
38,Jul,6th,2020,8:28:26,AM,EST,38.Jul 6th 2020 - 8:28:26 AM EST,533k,107k,China has caused great damage to the United States and the rest of the World!
39,Jan,6th,2021,2:38:58,PM,EST,39.Jan 6th 2021 - 2:38:58 PM EST,582k,107k,Please support our Capitol Police and Law Enforcement. They are truly on the side of our Country. Stay peaceful!
40,Nov,10th,2020,8:43:35,AM,EST,40.Nov 10th 2020 - 8:43:35 AM EST,639k,106k,WE ARE MAKING BIG PROGRESS. RESULTS START TO COME IN NEXT WEEK. MAKE AMERICA GREAT AGAIN!
41,Oct,14th,2012,2:43:44,PM,EST,41.Oct 14th 2012 - 2:43:44 PM EST,130k,106k,I have never seen a thin person drinking Diet Coke.
42,Dec,25th,2020,8:32:32,AM,EST,42.Dec 25th 2020 - 8:32:32 AM EST,835k,105k,MERRY CHRISTMAS!
43,Dec,12th,2020,8:47:30,AM,EST,43.Dec 12th 2020 - 8:47:30 AM EST,580k,105k,WE HAVE JUST BEGUN TO FIGHT!!!
44,Apr,7th,2020,11:04:16,AM,EST,44.Apr 7th 2020 - 11:04:16 AM EST,438k,104k,"The W.H.O. really blew it. For some reason, funded largely by the United States, yet very China centric. We will be giving that a good look. Fortunately I rejected their advice on keeping our borders open to China early on. Why did they give us such a faulty recommendation?"
45,Apr,8th,2020,2:11:51,PM,EST,45.Apr 8th 2020 - 2:11:51 PM EST,431k,103k,"Extraordinary times require even closer cooperation between friends. Thank you India and the Indian people for the decision on HCQ. Will not be forgotten! Thank you Prime Minister @NarendraModi for your strong leadership in helping not just India, but humanity, in this fight!"
46,Mar,17th,2020,3:31:33,PM,EST,46.Mar 17th 2020 - 3:31:33 PM EST,532k,103k,The world is at war with a hidden enemy. WE WILL WIN!
47,Nov,4th,2020,11:55:31,AM,EST,47.Nov 4th 2020 - 11:55:31 AM EST,627k,102k,"They are finding Biden votes all over the place — in Pennsylvania, Wisconsin, and Michigan. So bad for our Country!"
48,Dec,25th,2019,7:26:31,AM,EST,48.Dec 25th 2019 - 7:26:31 AM EST,686k,102k,MERRY CHRISTMAS!
49,Nov,6th,2020,6:25:39,PM,EST,49.Nov 6th 2020 - 6:25:39 PM EST,581k,102k,"I had such a big lead in all of these states late into election night, only to see the leads miraculously disappear as the days went by. Perhaps these leads will return as our legal proceedings move forward!"
50,Nov,8th,2020,9:17:33,AM,EST,50.Nov 8th 2020 - 9:17:33 AM EST,516k,101k,"“We believe these people are thieves. The big city machines are corrupt. This was a stolen election. Best pollster in Britain wrote this morning that this clearly was a stolen election, that it’s impossible to imagine that Biden outran Obama in some of these states."
51,Nov,9th,2020,2:36:26,PM,EST,51.Nov 9th 2020 - 2:36:26 PM EST,493k,101k,The threshold identification of Ballots is turning out to be even bigger than originally anticipated. A very large number of Ballots are impacted. Stay tuned!
52,Oct,3rd,2020,1:19:38,PM,EST,52.Oct 3rd 2020 - 1:19:38 PM EST,649k,100k,"Doctors, Nurses and ALL at the GREAT Walter Reed Medical Center, and others from likewise incredible institutions who have joined them, are AMAZING!!!Tremendous progress has been made over the last 6 months in fighting this PLAGUE. With their help, I am feeling well!"
53,Mar,21st,2020,10:13:08,AM,EST,53.Mar 21st 2020 - 10:13:08 AM EST,369k,100k,"HYDROXYCHLOROQUINE & AZITHROMYCIN, taken together, have a real chance to be one of the biggest game changers in the history of medicine. The FDA has moved mountains - Thank You! Hopefully they will BOTH (H works better with A, International Journal of Antimicrobial Agents)....."
54,Nov,26th,2020,10:44:23,AM,EST,54.Nov 26th 2020 - 10:44:23 AM EST,497k,99k,"Just saw the vote tabulations. There is NO WAY Biden got 80,000,000 votes!!! This was a 100% RIGGED ELECTION."
55,May,10th,2020,3:11:54,PM,EST,55.May 10th 2020 - 3:11:54 PM EST,377k,99k,OBAMAGATE!
56,Oct,6th,2020,10:18:10,PM,EST,56.Oct 6th 2020 - 10:18:10 PM EST,347k,98k,"If I am sent a Stand Alone Bill for Stimulus Checks ($1,200), they will go out to our great people IMMEDIATELY. I am ready to sign right now. Are you listening Nancy? @MarkMeadows @senatemajldr @kevinomccarthy @SpeakerPelosi @SenSchumer"
57,Nov,16th,2020,8:51:44,AM,EST,57.Nov 16th 2020 - 8:51:44 AM EST,682k,97k,I won the Election!
58,Nov,25th,2020,4:08:07,PM,EST,58.Nov 25th 2020 - 4:08:07 PM EST,474k,97k,"It is my Great Honor to announce that General Michael T. Flynn has been granted a Full Pardon. Congratulations to @GenFlynn and his wonderful family, I know you will now have a truly fantastic Thanksgiving!"
59,Nov,9th,2020,7:31:44,AM,EST,59.Nov 9th 2020 - 7:31:44 AM EST,720k,97k,"STOCK MARKET UP BIG, VACCINE COMING SOON. REPORT 90% EFFECTIVE. SUCH GREAT NEWS!"
60,Jul,22nd,2018,11:24:19,PM,EST,60.Jul 22nd 2018 - 11:24:19 PM EST,303k,97k,"To Iranian President Rouhani: NEVER, EVER THREATEN THE UNITED STATES AGAIN OR YOU WILL SUFFER CONSEQUENCES THE LIKES OF WHICH FEW THROUGHOUT HISTORY HAVE EVER SUFFERED BEFORE. WE ARE NO LONGER A COUNTRY THAT WILL STAND FOR YOUR DEMENTED WORDS OF VIOLENCE &amp, DEATH. BE CAUTIOUS!"
61,Nov,9th,2020,3:21:43,PM,EST,61.Nov 9th 2020 - 3:21:43 PM EST,638k,95k,"Georgia will be a big presidential win, as it was the night of the Election!"
62,Jun,4th,2020,6:28:54,PM,EST,62.Jun 4th 2020 - 6:28:54 PM EST,566k,95k,YOU DON’T BURN CHURCHES IN AMERICA!
63,Nov,21st,2020,6:13:41,PM,EST,63.Nov 21st 2020 - 6:13:41 PM EST,608k,94k,The Media is just as corrupt as the Election itself!
64,Jul,20th,2016,11:36:06,AM,EST,64.Jul 20th 2016 - 11:36:06 AM EST,208k,94k,The media is spending more time doing a forensic analysis of Melania's speech than the FBI spent on Hillary's emails.
65,Dec,11th,2020,7:26:20,AM,EST,65.Dec 11th 2020 - 7:26:20 AM EST,590k,94k,I just want to stop the world from killing itself!
66,Nov,6th,2012,2:15:52,PM,EST,66.Nov 6th 2012 - 2:15:52 PM EST,67k,94k,The concept of global warming was created by and for the Chinese in order to make U.S. manufacturing non-competitive.
67,Oct,3rd,2020,1:46:48,PM,EST,67.Oct 3rd 2020 - 1:46:48 PM EST,650k,93k,OUR GREAT USA WANTS & NEEDS STIMULUS. WORK TOGETHER AND GET IT DONE. Thank you!
68,Nov,15th,2020,9:16:11,AM,EST,68.Nov 15th 2020 - 9:16:11 AM EST,605k,93k,RIGGED ELECTION. WE WILL WIN!
69,Jan,6th,2021,9:00:12,AM,EST,69.Jan 6th 2021 - 9:00:12 AM EST,377k,92k,"They just happened to find 50,000 ballots late last night. The USA is embarrassed by fools. Our Election Process is worse than that of third world countries!"
70,Dec,22nd,2020,10:29:24,AM,EST,70.Dec 22nd 2020 - 10:29:24 AM EST,400k,92k,THE DEMOCRATS DUMPED HUNDREDS OF THOUSANDS OF BALLOTS IN THE SWING STATES LATE IN THE EVENING. IT WAS A RIGGED ELECTION!!!
71,Nov,10th,2020,6:21:51,PM,EST,71.Nov 10th 2020 - 6:21:51 PM EST,457k,92k,Ballot Corruption will be exposed tonight at 9:00pmE on @SeanHannity on @FoxNews!
72,Nov,4th,2020,6:24:59,PM,EST,72.Nov 4th 2020 - 6:24:59 PM EST,533k,92k,"Our lawyers have asked for “meaningful access”, but what good does that do? The damage has already been done to the integrity of our system, and to the Presidential Election itself. This is what should be discussed!"
73,Nov,27th,2020,10:56:13,AM,EST,73.Nov 27th 2020 - 10:56:13 AM EST,386k,92k,"Biden can only enter the White House as President if he can prove that his ridiculous “80,000,000 votes” were not fraudulently or illegally obtained. When you see what happened in Detroit, Atlanta, Philadelphia & Milwaukee, massive voter fraud, he’s got a big unsolvable problem!"
74,May,13th,2020,8:57:38,PM,EST,74.May 13th 2020 - 8:57:38 PM EST,369k,91k,OBAMAGATE!
75,Dec,21st,2020,7:24:59,AM,EST,75.Dec 21st 2020 - 7:24:59 AM EST,391k,91k,Big news coming out of Pennsylvania. Very big illegal ballot drop that cannot be accounted for. Rigged Election!
76,Sep,5th,2013,9:20:34,AM,EST,76.Sep 5th 2013 - 9:20:34 AM EST,75k,91k,"AGAIN, TO OUR VERY FOOLISH LEADER, DO NOT ATTACK SYRIA - IF YOU DO MANY VERY BAD THINGS WILL HAPPEN & FROM THAT FIGHT THE U.S. GETS NOTHING!"
